level_0,clpA_1,clpA_10,clpA_100,clpA_101,clpA_102,clpA_103,clpA_104,clpA_105,clpA_106,clpA_107,clpA_108,clpA_109,clpA_11,clpA_110,clpA_111,clpA_112,clpA_113,clpA_114,clpA_115,clpA_116,clpA_117,clpA_118,clpA_119,clpA_12,clpA_120,clpA_121,clpA_122,clpA_123,clpA_124,clpA_125,clpA_126,clpA_127,clpA_128,clpA_129,clpA_13,clpA_130,clpA_131,clpA_132,clpA_133,clpA_134,clpA_135,clpA_136,clpA_137,clpA_138,clpA_139,clpA_14,clpA_140,clpA_141,clpA_142,clpA_143,clpA_144,clpA_145,clpA_146,clpA_147,clpA_148,clpA_149,clpA_15,clpA_150,clpA_151,clpA_152,clpA_153,clpA_154,clpA_155,clpA_156,clpA_157,clpA_158,clpA_159,clpA_16,clpA_160,clpA_161,clpA_162,clpA_163,clpA_164,clpA_165,clpA_166,clpA_167,clpA_168,clpA_169,clpA_17,clpA_170,clpA_171,clpA_172,clpA_173,clpA_174,clpA_175,clpA_176,clpA_177,clpA_178,clpA_179,clpA_18,clpA_180,clpA_181,clpA_182,clpA_183,clpA_184,clpA_185,clpA_186,clpA_187,clpA_188,clpA_189,clpA_19,clpA_190,clpA_191,clpA_192,clpA_193,clpA_194,clpA_195,clpA_196,clpA_197,clpA_198,clpA_199,clpA_2,clpA_20,clpA_200,clpA_201,clpA_202,clpA_203,clpA_204,clpA_205,clpA_206,clpA_207,clpA_208,clpA_209,clpA_21,clpA_210,clpA_211,clpA_212,clpA_213,clpA_214,clpA_215,clpA_216,clpA_217,clpA_218,clpA_219,clpA_22,clpA_220,clpA_221,clpA_222,clpA_223,clpA_224,clpA_225,clpA_226,clpA_227,clpA_228,clpA_229,clpA_23,clpA_230,clpA_231,clpA_232,clpA_233,clpA_234,clpA_235,clpA_236,clpA_237,clpA_238,clpA_239,clpA_24,clpA_240,clpA_241,clpA_242,clpA_243,clpA_244,clpA_245,clpA_246,clpA_247,clpA_248,clpA_249,clpA_25,clpA_250,clpA_26,clpA_27,clpA_28,clpA_29,clpA_3,clpA_30,clpA_31,clpA_32,clpA_33,clpA_34,clpA_35,clpA_36,clpA_37,clpA_38,clpA_39,clpA_4,clpA_40,clpA_41,clpA_42,clpA_43,clpA_44,clpA_45,clpA_46,clpA_47,clpA_48,clpA_49,clpA_5,clpA_50,clpA_51,clpA_52,clpA_53,clpA_54,clpA_55,clpA_56,clpA_57,clpA_58,clpA_59,clpA_6,clpA_60,clpA_61,clpA_62,clpA_63,clpA_64,clpA_65,clpA_66,clpA_67,clpA_68,clpA_69,clpA_7,clpA_70,clpA_71,clpA_72,clpA_73,clpA_74,clpA_75,clpA_76,clpA_77,clpA_78,clpA_79,clpA_8,clpA_80,clpA_81,clpA_82,clpA_83,clpA_84,clpA_85,clpA_86,clpA_87,clpA_88,clpA_89,clpA_9,clpA_90,clpA_91,clpA_92,clpA_93,clpA_94,clpA_95,clpA_96,clpA_97,clpA_98,clpA_99
clpA_157,9,6,53,54,55,62,9,4,8,1,62,52,8,51,54,61,52,53,54,60,43,45,42,3,42,45,42,46,50,48,51,48,6,64,15,63,51,16,53,53,52,55,6,61,61,9,65,61,63,66,60,60,61,62,60,68,10,59,48,64,66,66,6,10,0,6,18,10,17,14,55,54,56,63,60,61,61,55,14,81,61,53,59,42,34,37,39,57,54,9,61,54,7,52,70,60,62,61,55,55,10,53,60,61,61,62,62,63,59,54,192,4,6,187,186,179,180,180,54,54,62,59,64,7,63,60,175,185,184,178,184,10,49,187,3,188,190,188,62,67,61,60,59,60,55,6,30,30,33,29,29,29,28,30,32,61,7,183,52,65,52,8,62,174,185,51,54,7,179,50,52,49,51,5,49,55,48,55,56,52,53,54,54,54,7,63,61,60,62,61,58,61,61,61,51,5,50,53,54,54,53,53,61,62,63,60,8,61,182,61,54,65,64,62,60,179,60,11,62,185,60,63,51,58,55,54,55,52,6,54,56,54,57,58,59,60,60,65,53,7,65,44,44,44,67,61,50,52,54,59
clpA_158,9,6,52,52,56,62,5,6,6,5,62,53,4,50,55,61,53,54,55,60,43,45,42,7,42,45,42,46,50,48,51,48,7,64,15,63,52,16,51,54,53,53,7,61,61,9,65,61,63,66,60,60,61,62,60,68,6,59,46,65,66,66,7,6,6,0,16,10,15,14,54,55,56,63,60,61,61,55,14,81,61,54,59,40,32,35,39,57,53,5,60,55,8,53,70,60,62,61,53,53,10,54,60,61,61,62,62,63,59,55,195,8,6,190,189,181,182,182,55,55,62,59,64,7,63,60,177,185,186,180,184,10,48,190,3,191,193,191,62,67,61,60,59,60,56,7,31,31,34,30,30,30,29,31,33,61,5,184,53,65,53,4,62,176,187,49,55,5,182,48,50,47,49,6,47,53,46,53,54,53,54,55,55,55,7,63,61,60,62,61,58,61,61,61,50,5,49,54,55,55,54,54,61,62,63,60,8,61,182,61,55,65,64,62,60,180,60,7,62,187,60,63,49,57,54,54,54,51,6,53,55,53,56,57,59,60,60,65,52,7,65,44,42,44,67,61,49,53,55,59
clpA_159,13,14,55,56,58,63,11,14,16,17,61,55,12,55,57,62,55,56,57,59,46,48,45,17,45,48,45,49,49,47,50,47,15,61,17,62,54,18,55,56,55,57,15,62,60,13,64,60,62,65,61,61,62,63,61,67,12,60,52,67,67,67,13,12,18,16,0,14,1,16,58,57,58,62,61,60,58,57,16,84,60,56,62,45,38,41,42,59,57,13,64,59,16,55,73,59,61,62,57,57,14,56,59,62,60,61,63,64,62,57,198,18,12,193,191,185,186,186,57,57,63,60,63,13,62,59,183,191,191,185,190,14,50,193,15,194,198,194,61,68,60,59,58,59,58,15,35,35,38,34,34,34,33,35,37,62,13,190,56,64,55,14,61,181,192,53,57,11,187,52,54,51,53,14,51,57,50,57,58,55,56,57,57,57,13,62,62,61,63,60,57,60,60,60,55,13,54,56,57,57,56,56,62,63,62,61,12,62,188,62,57,64,63,61,59,190,61,13,63,192,61,64,53,60,57,59,57,54,14,56,58,56,59,60,60,59,61,64,55,15,66,47,47,47,70,60,54,55,57,60
clpA_16,3,6,55,54,54,63,7,8,10,9,63,51,6,53,53,62,51,52,53,61,44,46,43,7,43,46,43,47,47,43,46,45,9,63,15,64,50,16,53,52,51,55,9,62,62,1,66,62,64,67,61,61,62,63,61,69,8,60,48,63,67,67,7,8,10,10,14,0,13,14,54,53,56,64,61,62,60,55,14,80,62,52,60,39,36,39,40,57,53,7,60,55,10,51,71,61,63,62,55,55,2,52,61,62,62,63,63,64,60,53,192,8,6,187,186,183,184,184,53,53,63,60,65,3,64,61,176,189,183,180,188,2,48,189,7,190,192,188,63,68,62,61,60,61,54,7,33,33,36,32,32,32,31,33,35,62,7,186,52,66,51,8,63,178,184,51,53,7,181,50,52,49,51,8,49,55,48,55,56,51,52,53,53,53,5,64,62,61,63,62,59,62,62,62,53,5,52,52,53,53,52,52,62,63,64,61,2,62,186,62,53,66,65,63,61,183,61,9,63,184,61,64,51,60,57,57,57,54,8,56,58,56,59,60,60,61,60,66,55,9,66,45,45,45,69,62,52,51,53,60
clpA_160,12,13,54,57,59,64,10,13,15,16,62,56,11,54,58,63,56,57,58,60,45,47,44,16,44,47,44,48,48,46,49,46,14,62,16,63,55,17,56,57,56,58,14,63,61,12,65,61,63,66,62,62,63,64,62,68,11,61,51,68,68,68,12,11,17,15,1,13,0,15,59,58,59,63,62,61,59,58,15,83,61,57,63,44,37,40,41,60,56,12,65,60,15,56,72,60,62,63,58,58,13,57,60,63,61,62,64,65,63,58,197,17,11,192,190,184,185,185,58,58,64,61,64,12,63,60,182,190,190,184,189,13,49,192,14,193,197,193,62,69,61,60,59,60,59,14,34,34,37,33,33,33,32,34,36,63,12,189,57,65,56,13,62,180,191,54,58,10,186,53,55,52,54,13,52,58,51,58,59,56,57,58,58,58,12,63,63,62,64,61,58,61,61,61,54,12,53,57,58,58,57,57,63,64,63,62,11,63,187,63,58,65,64,62,60,189,62,12,64,191,62,65,54,59,56,58,56,53,13,55,57,55,58,59,61,60,62,65,54,14,67,46,46,46,71,61,53,56,58,61
clpA_161,13,12,50,50,55,61,13,14,12,13,59,52,14,50,54,60,52,53,54,57,42,44,41,13,41,44,41,45,45,43,46,43,11,59,1,60,51,2,49,53,54,51,11,60,58,13,62,58,60,63,57,57,60,59,57,65,16,56,48,62,63,63,11,16,14,14,16,14,15,0,53,52,53,60,57,58,58,54,2,81,58,53,56,39,34,37,38,54,49,15,56,56,12,52,65,57,59,60,51,51,14,53,57,60,58,59,61,62,56,54,190,14,10,187,186,182,183,183,54,54,61,56,61,11,60,57,180,189,186,180,188,14,45,186,11,187,190,186,59,64,58,57,58,57,55,11,28,30,33,27,27,27,26,28,30,60,13,184,53,62,52,14,59,177,187,47,54,11,182,46,48,45,47,10,45,51,44,51,52,52,53,54,54,54,9,60,58,59,61,58,55,58,58,58,50,11,49,53,54,52,53,53,58,59,60,57,12,58,186,58,54,62,61,59,57,185,57,17,59,187,57,60,47,56,53,52,53,50,10,51,54,52,55,56,56,55,57,62,51,11,62,43,44,43,68,58,49,52,54,58
clpA_162,53,54,62,50,7,48,55,56,54,55,47,4,56,60,6,45,6,6,6,45,59,59,58,53,57,59,56,60,55,53,54,53,52,46,54,47,5,55,50,6,7,51,52,47,45,53,48,47,47,50,49,47,50,49,46,51,58,45,57,63,52,52,52,56,55,54,58,54,59,53,0,4,48,45,46,49,52,49,55,78,47,4,49,49,52,55,57,49,53,57,56,8,53,5,68,45,47,45,51,51,54,6,46,45,44,47,46,48,50,6,190,52,52,186,182,184,185,185,6,6,51,45,48,51,49,46,176,189,186,183,187,54,49,191,53,190,190,187,46,53,46,42,43,46,7,52,50,48,51,49,49,49,48,50,51,45,55,187,6,47,5,56,44,181,190,45,6,53,180,45,46,46,46,51,45,51,46,51,52,3,5,6,6,6,49,45,47,44,46,45,46,45,45,46,60,53,59,5,6,1,4,4,50,51,47,47,52,50,186,50,5,49,46,46,44,183,47,57,50,189,48,52,47,64,63,59,65,61,52,61,64,62,67,68,48,46,48,49,62,53,51,59,58,61,51,49,59,4,6,43
clpA_163,52,53,61,52,7,52,54,55,53,54,49,4,55,59,6,49,6,6,6,49,57,57,56,52,55,57,54,58,55,53,54,53,51,50,53,51,5,54,52,4,7,53,51,51,49,52,52,51,51,54,49,47,50,49,48,55,57,47,59,63,54,54,51,55,54,55,57,53,58,52,4,0,48,49,48,53,52,49,54,79,51,4,49,49,54,55,55,49,54,56,54,8,52,5,70,49,51,49,53,53,53,6,50,49,48,51,50,52,50,6,191,51,51,187,183,185,186,186,6,6,51,47,52,50,53,50,177,190,187,186,188,53,53,192,52,191,191,188,50,55,50,46,47,50,5,51,52,50,53,51,51,51,50,52,53,49,54,188,6,51,5,55,46,182,191,47,6,52,181,47,48,46,46,50,47,53,46,53,54,3,5,6,6,6,48,49,49,48,50,49,50,49,47,50,59,52,58,5,6,3,4,4,50,51,51,47,51,50,187,50,5,53,50,50,48,184,47,56,50,190,48,52,49,64,62,58,64,60,51,60,63,61,64,65,48,48,50,53,61,52,53,57,58,59,49,53,58,4,6,47
clpA_164,55,54,54,48,47,50,55,56,54,55,51,44,56,52,46,51,46,44,46,51,59,60,58,55,58,58,57,61,61,60,61,60,53,50,54,51,43,53,49,46,45,49,51,51,49,55,52,50,51,52,50,46,47,46,48,55,58,49,60,50,52,52,53,56,56,56,58,56,59,53,48,48,0,51,48,53,49,3,51,78,51,46,51,56,52,56,56,1,56,57,58,48,54,43,67,51,53,51,49,49,56,46,50,49,50,49,50,52,49,44,184,54,52,181,175,180,181,181,46,44,48,47,52,53,53,50,169,185,179,173,183,56,51,186,53,185,184,182,53,53,52,48,49,52,47,53,45,51,54,46,46,46,45,47,48,51,55,188,45,53,45,56,48,176,183,46,46,53,177,46,46,46,46,52,45,47,47,49,50,45,45,46,46,46,51,51,47,50,50,49,52,49,49,52,52,53,51,45,46,47,46,46,50,51,51,48,54,49,182,49,47,53,52,50,50,178,48,57,49,181,46,51,45,56,55,51,57,53,52,51,54,54,59,60,49,46,46,53,54,53,51,60,61,59,59,51,51,45,46,49
clpA_165,63,62,69,53,48,13,63,62,63,62,12,45,64,67,47,12,47,46,47,10,62,61,61,62,61,60,60,62,58,59,60,59,62,9,61,8,44,62,53,47,47,54,62,12,10,63,7,11,8,13,18,16,17,16,15,10,66,12,67,68,17,19,61,64,63,63,62,64,63,60,45,49,51,0,15,12,17,52,60,71,10,47,19,61,56,59,61,52,63,65,62,47,63,45,66,11,12,12,54,54,64,48,9,10,9,10,11,13,17,47,189,61,60,185,179,184,185,185,47,45,18,14,9,61,12,9,179,182,183,179,180,64,52,190,62,189,187,186,12,20,12,9,10,11,48,62,47,53,56,49,50,48,48,50,47,12,63,187,47,10,46,64,11,176,184,52,47,61,174,52,53,53,53,61,52,54,53,54,55,46,46,47,47,47,60,8,14,11,11,8,11,8,10,11,66,61,66,47,47,46,47,47,17,18,10,14,62,17,179,17,46,12,9,11,11,179,14,65,17,184,16,19,52,71,70,68,72,68,61,68,69,69,74,75,15,11,15,12,69,62,18,63,60,65,63,12,66,46,46,10
clpA_166,60,59,66,46,47,16,60,59,60,59,15,44,61,62,46,13,46,45,46,15,61,60,60,59,60,60,59,61,57,58,59,58,59,14,58,13,43,59,46,46,46,47,59,15,13,60,16,16,13,16,7,7,8,7,4,19,63,9,66,63,10,10,58,61,60,60,61,61,62,57,46,48,48,15,0,17,10,49,57,76,15,46,8,57,54,57,60,49,58,62,55,46,60,44,61,16,17,15,47,47,61,47,14,13,16,15,14,17,8,46,190,58,57,188,182,180,181,181,46,44,9,3,16,58,19,14,180,184,187,181,183,59,55,188,59,187,188,187,17,11,17,12,13,16,47,59,50,52,55,50,51,51,49,51,52,15,60,185,46,15,45,61,12,176,186,45,44,58,173,45,46,46,46,58,45,47,46,47,48,45,45,46,46,46,57,13,5,14,14,15,16,13,13,16,61,58,61,46,46,47,46,46,8,9,13,7,59,8,181,8,45,15,14,14,12,181,7,62,8,187,7,10,45,69,67,63,67,65,58,63,66,66,69,70,8,4,6,15,64,59,9,62,59,64,58,17,61,45,46,13
clpA_167,61,60,65,48,52,9,61,60,61,60,8,49,62,63,51,8,51,50,51,10,60,60,59,60,59,60,59,61,56,57,58,57,60,11,59,10,48,60,48,51,51,49,60,6,6,61,15,13,10,11,20,18,19,18,17,18,64,14,66,70,20,20,59,62,61,61,60,62,61,58,49,53,53,12,17,0,19,54,58,77,6,51,21,59,52,55,58,54,59,63,64,51,61,49,64,9,12,8,49,49,62,52,5,6,11,6,7,8,19,51,192,59,58,188,182,184,185,185,51,49,20,16,11,59,8,5,180,182,184,181,181,62,52,191,60,190,190,189,12,22,10,7,8,5,52,60,45,51,54,47,48,48,46,48,47,8,61,188,51,12,50,62,7,178,184,47,51,59,179,47,48,48,48,59,47,49,48,49,50,50,50,51,51,51,58,12,16,7,7,10,5,4,6,11,62,59,62,51,51,50,51,51,19,20,14,16,60,17,179,19,50,10,13,7,7,183,16,63,19,184,18,21,47,69,68,64,68,65,59,64,67,67,70,71,19,13,17,16,64,60,19,61,60,63,65,6,62,50,51,6
clpA_168,59,60,63,52,53,16,59,60,61,60,15,50,60,61,52,17,52,51,52,17,61,60,60,60,60,60,59,61,59,60,61,60,60,16,59,15,49,60,52,50,52,53,60,17,15,59,18,18,15,18,9,5,8,7,10,21,60,11,68,65,14,14,59,58,61,61,58,60,59,58,52,52,49,17,10,19,0,50,58,75,17,52,10,60,56,56,60,50,60,61,59,52,61,50,63,20,19,17,53,53,60,53,16,15,18,17,16,19,8,52,189,59,58,187,182,182,183,183,52,50,9,9,18,59,21,16,184,187,188,185,186,60,57,186,60,187,187,186,19,15,21,14,15,18,53,60,52,56,59,52,53,53,51,53,54,17,61,187,52,17,51,62,16,177,188,51,52,59,174,51,52,50,50,59,51,53,50,53,54,51,51,52,52,52,58,15,9,16,16,17,18,15,15,18,60,59,60,52,52,53,52,52,10,11,17,7,58,8,184,8,51,17,16,16,16,183,7,59,8,188,5,10,51,66,64,62,64,62,59,60,63,63,66,67,8,8,10,19,61,60,13,62,59,64,62,19,60,51,52,15
clpA_169,54,53,55,49,48,49,54,55,53,54,52,45,55,51,47,50,47,45,47,52,58,59,57,54,57,57,56,60,60,59,60,59,52,51,55,52,44,54,50,47,44,50,52,50,50,54,53,51,52,55,51,47,46,49,49,56,57,50,61,53,53,53,52,55,55,55,57,55,58,54,49,49,3,52,49,54,50,0,52,78,50,47,52,55,53,57,55,4,59,56,59,49,53,44,68,52,54,52,50,50,55,47,51,48,51,48,49,51,50,45,183,53,51,180,175,180,181,181,47,45,47,48,53,52,52,51,170,183,180,173,181,55,52,184,52,183,183,181,54,52,53,49,48,53,48,52,46,52,55,47,47,47,46,48,49,52,54,187,46,54,46,55,49,176,182,47,47,52,177,47,47,47,47,51,46,48,48,50,51,46,46,47,47,47,50,52,48,51,49,50,53,50,50,53,51,52,50,46,47,48,47,47,51,52,52,49,53,50,180,50,48,54,53,51,49,178,49,56,50,182,47,52,46,56,55,52,57,53,51,52,54,54,59,60,50,47,47,54,54,52,52,59,59,58,60,52,50,46,47,50
clpA_17,13,12,50,50,55,61,13,14,12,13,59,52,14,50,54,60,52,53,54,57,42,44,41,13,41,44,41,45,47,45,48,45,11,59,3,60,51,2,49,53,54,51,11,60,58,13,62,58,60,63,57,57,60,59,57,65,16,56,46,60,63,63,11,16,14,14,16,14,15,2,55,54,51,60,57,58,58,52,0,81,58,53,56,39,34,37,38,52,49,15,56,56,12,52,65,57,59,60,51,51,14,53,57,60,58,59,61,62,56,54,190,14,10,187,184,180,181,181,54,54,61,56,61,11,60,57,178,187,184,178,186,14,43,186,11,187,190,186,59,64,58,57,58,57,55,11,28,30,33,27,27,27,26,28,30,60,13,184,53,62,52,14,59,176,185,47,54,11,180,46,48,45,47,10,45,51,44,51,52,52,53,54,54,54,9,60,58,59,61,58,55,58,58,58,50,11,49,53,54,54,53,53,58,59,60,57,12,58,184,58,54,62,61,59,57,184,57,17,59,185,57,60,47,56,53,50,53,50,10,49,54,52,55,56,56,55,57,62,51,11,62,43,44,43,68,58,49,52,54,58
clpA_170,81,80,87,72,79,78,81,81,81,81,78,76,82,83,78,77,76,76,78,72,85,86,84,81,84,86,83,87,87,85,84,85,79,75,82,74,77,83,73,77,76,73,79,75,77,79,74,74,75,80,75,72,74,74,74,75,84,77,85,89,77,79,78,82,81,81,84,80,83,81,78,79,78,71,76,77,75,78,81,0,75,78,76,82,78,79,83,77,80,83,84,78,80,75,87,77,74,75,73,72,80,78,76,75,74,75,76,77,75,77,193,80,78,189,184,182,183,183,78,78,75,73,74,79,78,76,171,180,180,174,179,80,70,193,80,192,192,190,74,76,78,76,76,74,79,77,68,75,76,70,71,69,70,71,68,75,81,179,77,77,77,82,78,169,181,76,78,79,174,74,74,73,73,78,73,73,74,73,73,77,77,78,78,78,78,75,75,74,76,73,74,75,77,73,83,79,82,77,78,79,78,78,73,74,76,74,80,75,177,75,79,77,76,78,78,172,74,83,73,180,73,77,74,90,88,83,88,86,79,87,85,87,90,89,74,74,73,77,84,80,78,86,82,86,82,76,83,77,77,73
clpA_171,61,60,65,50,50,7,61,60,61,60,6,47,62,63,49,6,49,48,49,10,58,57,57,60,57,57,56,58,54,55,55,55,60,11,59,10,46,60,50,49,49,51,60,4,4,61,13,13,10,9,18,16,17,16,15,16,64,12,66,68,17,17,59,62,61,61,60,62,61,58,47,51,51,10,15,6,17,50,58,75,0,49,19,55,52,55,56,52,59,63,62,49,61,47,63,9,12,8,51,51,62,50,3,4,11,4,3,4,17,49,190,59,58,186,179,181,182,182,49,47,18,14,11,59,6,5,179,180,183,179,179,62,50,190,60,189,188,187,12,18,10,7,8,5,50,60,42,48,51,44,45,45,43,45,44,8,61,186,49,12,48,62,7,177,183,49,49,59,176,49,50,50,50,59,49,51,50,51,52,48,48,49,49,49,58,10,14,7,5,10,5,4,6,11,62,59,62,49,49,48,49,49,17,18,12,14,60,17,177,17,48,8,11,5,5,182,14,63,17,183,16,19,49,69,68,64,68,65,59,64,67,67,70,71,17,11,15,14,64,60,16,59,58,61,63,6,62,48,49,6
clpA_172,51,52,61,50,3,50,53,54,52,53,49,2,54,59,2,47,2,2,4,47,57,57,56,51,55,57,54,58,57,55,56,55,50,48,54,49,3,55,50,2,3,51,50,49,47,51,50,49,49,52,49,47,50,49,46,53,56,45,55,63,52,52,50,54,53,54,56,52,57,53,4,4,46,47,46,51,52,47,53,78,49,0,49,49,52,55,55,47,52,55,54,4,51,3,68,47,49,47,51,51,52,2,48,47,46,49,48,50,50,2,193,50,50,189,183,183,184,184,2,2,51,45,50,49,51,48,177,188,187,184,186,52,51,194,51,193,193,190,48,53,48,44,45,48,3,50,50,48,51,49,49,49,48,50,51,47,53,190,4,49,3,54,46,182,191,45,2,51,179,45,46,46,46,49,45,51,46,51,52,1,1,2,2,2,47,47,47,46,48,47,48,47,47,48,59,51,58,1,2,3,2,2,50,51,49,47,50,50,185,50,3,51,48,48,46,184,47,55,50,190,48,52,47,64,62,58,64,60,50,60,63,61,66,67,48,46,48,51,61,51,51,57,58,59,49,51,58,2,2,45
clpA_173,59,58,63,50,50,20,59,58,59,58,17,47,60,59,49,17,49,48,49,19,63,62,62,58,62,62,61,63,59,60,61,60,58,18,57,17,46,58,50,47,49,51,58,19,17,59,20,20,17,20,7,6,8,7,8,23,62,13,70,65,14,14,57,62,59,59,62,60,63,56,49,49,51,19,8,21,10,52,56,76,19,49,0,58,57,55,62,52,58,61,51,49,59,47,62,20,21,19,51,51,60,50,18,17,20,19,18,21,2,49,188,57,56,186,181,181,182,182,49,47,9,7,20,57,23,18,182,187,187,183,186,60,59,186,58,185,186,185,21,15,21,16,17,20,50,58,52,54,57,52,53,53,51,53,54,19,59,184,49,19,48,60,16,177,187,51,49,57,174,51,52,48,50,57,49,51,48,51,52,48,48,49,49,49,56,17,9,18,18,19,20,17,17,20,58,57,58,49,49,50,49,49,10,11,17,7,58,8,184,6,48,19,18,18,16,182,7,63,8,187,5,8,49,66,64,60,64,62,57,60,63,63,66,67,6,8,10,19,61,58,13,64,61,66,59,21,60,48,49,17
clpA_174,38,39,53,49,48,58,40,41,40,41,57,47,41,51,49,57,49,48,49,56,34,35,33,39,32,35,32,36,38,36,38,36,39,60,40,61,46,41,48,47,49,50,39,57,57,38,64,59,61,60,59,59,58,59,58,67,43,57,48,63,62,62,38,43,42,40,45,39,44,39,49,49,56,61,57,59,60,55,39,82,55,49,58,0,37,39,31,57,52,42,55,50,40,47,71,58,58,59,50,50,39,49,56,57,60,58,56,57,58,49,186,40,37,181,182,180,181,181,49,49,59,57,62,36,59,58,170,185,179,175,184,39,48,185,39,184,186,182,58,63,59,56,57,58,50,39,39,41,44,38,38,38,39,39,42,59,40,179,49,61,48,41,60,178,180,46,49,38,178,46,48,44,46,38,45,50,43,50,51,48,48,49,48,49,35,59,59,58,58,59,56,59,59,57,51,38,50,49,49,50,49,49,60,61,61,59,37,58,182,58,50,59,60,58,56,179,59,44,60,181,59,60,47,59,56,53,56,53,38,52,55,55,56,57,56,58,58,63,52,39,61,34,31,34,60,59,50,48,49,57
clpA_175,35,31,56,46,52,55,33,34,32,33,54,51,34,54,53,54,53,52,53,53,39,41,38,35,38,41,38,42,43,41,44,41,31,57,35,56,50,36,45,53,53,47,31,52,52,35,59,54,56,57,56,54,55,54,54,62,36,52,40,69,56,56,31,34,34,32,38,36,37,34,52,54,52,56,54,52,56,53,34,78,52,52,57,37,0,9,35,53,54,33,62,51,32,51,70,53,55,52,47,47,36,52,51,52,54,53,53,54,55,53,193,36,30,188,184,183,184,184,53,53,56,53,57,33,54,51,177,184,187,178,182,36,46,190,31,189,192,189,55,59,54,53,54,51,52,31,34,34,37,33,33,33,33,34,36,52,33,184,52,58,51,32,53,176,190,42,53,31,182,42,44,44,44,30,43,47,43,47,48,51,52,51,51,53,31,56,53,51,53,54,49,52,52,54,54,31,53,52,53,53,52,52,56,57,58,54,34,53,181,55,53,56,55,53,53,181,52,35,55,189,54,57,43,62,59,54,59,56,30,55,58,58,61,62,53,52,52,60,55,31,55,40,37,42,68,52,51,51,53,50
clpA_176,38,35,55,52,57,58,36,37,35,36,55,54,37,53,56,57,56,55,56,56,41,43,40,38,40,42,40,44,43,43,46,43,34,60,38,59,53,39,51,54,56,53,34,55,55,38,62,57,59,60,56,53,55,54,57,65,39,55,43,70,59,59,34,37,37,35,41,39,40,37,55,55,56,59,57,55,56,57,37,79,55,55,55,39,9,0,37,57,55,36,60,54,35,54,75,56,57,55,53,53,39,55,54,55,57,56,56,57,55,56,193,39,33,188,184,185,186,186,56,56,56,56,60,36,57,54,177,186,189,181,184,39,48,190,34,189,192,189,57,62,57,56,57,54,57,34,36,36,39,35,35,35,35,36,38,55,36,185,55,61,54,35,56,178,192,46,56,34,182,46,48,46,46,33,47,53,45,53,54,54,55,56,54,56,34,59,56,54,56,55,52,55,55,56,53,34,52,55,56,56,55,55,57,58,61,54,37,53,183,55,56,59,60,56,56,183,52,38,55,191,52,57,49,61,58,53,58,55,33,54,57,57,60,61,53,55,55,63,54,34,58,42,41,44,66,55,52,54,56,53
clpA_177,39,38,60,56,56,58,37,38,37,38,57,53,38,57,55,57,55,54,55,54,10,11,9,38,8,11,8,12,24,24,25,22,38,56,39,57,52,40,55,53,55,57,38,56,57,39,62,57,59,60,61,59,60,59,60,65,40,57,47,71,63,63,37,38,39,39,42,40,41,38,57,55,56,61,60,58,60,55,38,83,56,55,62,31,35,37,0,57,56,39,60,56,39,53,70,59,56,57,57,57,40,55,56,55,58,56,56,58,60,55,192,39,36,187,182,184,185,185,55,55,61,59,60,37,60,56,180,183,183,176,181,40,49,186,38,185,192,188,56,61,60,54,55,57,56,38,37,39,42,36,36,34,35,37,40,57,39,186,55,57,54,38,58,177,184,50,55,37,181,50,52,50,50,37,51,57,49,57,58,54,54,55,54,55,36,55,59,56,56,57,55,57,57,55,57,37,56,55,55,56,55,55,59,60,61,57,38,58,180,60,56,59,56,58,56,180,55,39,60,184,59,62,53,65,62,59,62,59,37,58,61,61,62,63,60,58,58,63,57,38,62,10,11,12,63,58,56,54,55,55
clpA_178,56,55,55,49,48,51,56,57,55,56,52,45,57,53,47,52,47,45,47,52,60,61,59,56,59,59,58,62,62,61,62,61,54,51,55,52,44,54,50,47,46,50,52,52,50,56,53,51,52,53,51,47,48,47,47,56,59,50,61,51,53,53,54,57,57,57,59,57,60,54,49,49,1,52,49,54,50,4,52,77,52,47,52,57,53,57,57,0,56,58,59,49,55,44,68,52,54,52,50,50,57,47,51,50,51,50,51,53,50,45,185,55,53,182,176,179,180,180,47,45,49,46,53,54,54,51,170,184,178,174,182,57,52,187,54,186,185,183,54,54,53,49,50,53,48,54,46,52,55,47,47,47,46,48,49,52,56,189,46,54,46,57,49,175,182,47,47,54,178,47,47,47,47,53,46,48,48,50,51,46,46,47,47,47,52,52,48,51,51,50,53,50,50,53,53,54,52,46,47,48,47,47,51,52,52,49,55,50,181,50,48,54,53,51,51,177,49,58,50,180,47,52,46,57,56,52,58,54,53,52,53,55,60,61,50,47,47,54,55,54,52,61,62,60,60,52,52,46,47,50
