,Strain_0_Genome.fas,Strain_1_Genome.fas,Strain_2_Genome.fas,Strain_3_Genome.fas,Strain_4_Genome.fas,Strain_5_Genome.fas,Strain_6_Genome.fas,Strain_7_Genome.fas,Strain_8_Genome.fas,Strain_9_Genome.fas,Strain_10_Genome.fas,Strain_11_Genome.fas,Strain_12_Genome.fas,Strain_13_Genome.fas,Strain_14_Genome.fas,Strain_15_Genome.fas,Strain_16_Genome.fas,Strain_17_Genome.fas,Strain_18_Genome.fas,Strain_19_Genome.fas,Strain_20_Genome.fas,Strain_21_Genome.fas,Strain_22_Genome.fas,Strain_23_Genome.fas,Strain_24_Genome.fas,Strain_25_Genome.fas,Strain_26_Genome.fas,Strain_27_Genome.fas,Strain_28_Genome.fas,Strain_29_Genome.fas,Strain_30_Genome.fas,Strain_31_Genome.fas,Strain_32_Genome.fas,Strain_33_Genome.fas,Strain_34_Genome.fas,Strain_35_Genome.fas,Strain_36_Genome.fas,Strain_37_Genome.fas,Strain_38_Genome.fas,Strain_39_Genome.fas,Strain_40_Genome.fas,Strain_41_Genome.fas,Strain_42_Genome.fas,Strain_43_Genome.fas,Strain_44_Genome.fas,Strain_45_Genome.fas,Strain_46_Genome.fas,Strain_47_Genome.fas,Strain_48_Genome.fas,Strain_49_Genome.fas,Strain_50_Genome.fas,Strain_51_Genome.fas,Strain_52_Genome.fas,Strain_53_Genome.fas,Strain_54_Genome.fas,Strain_55_Genome.fas,Strain_56_Genome.fas,Strain_57_Genome.fas,Strain_58_Genome.fas,Strain_59_Genome.fas,Strain_60_Genome.fas,Strain_61_Genome.fas,Strain_62_Genome.fas,Strain_63_Genome.fas,Strain_64_Genome.fas,Strain_65_Genome.fas,Strain_66_Genome.fas,Strain_67_Genome.fas,Strain_68_Genome.fas,Strain_69_Genome.fas,Strain_70_Genome.fas,Strain_71_Genome.fas,Strain_72_Genome.fas,Strain_73_Genome.fas,Strain_74_Genome.fas,Strain_75_Genome.fas,Strain_76_Genome.fas,Strain_77_Genome.fas,Strain_78_Genome.fas,Strain_79_Genome.fas,Strain_80_Genome.fas,Strain_81_Genome.fas,Strain_82_Genome.fas,Strain_83_Genome.fas,Strain_84_Genome.fas,Strain_85_Genome.fas,Strain_86_Genome.fas,Strain_87_Genome.fas,Strain_88_Genome.fas,Strain_89_Genome.fas,Strain_90_Genome.fas,Strain_91_Genome.fas,Strain_92_Genome.fas,Strain_93_Genome.fas,Strain_94_Genome.fas,Strain_95_Genome.fas,Strain_96_Genome.fas,Strain_97_Genome.fas,Strain_98_Genome.fas
Strain_22_Genome.fas,0.021429,0.021429,0.035714,0.057143,0.042857,0.042857,0.014286,0.035714,0.042857,0.035714,0.035714,0.057143,0.057143,0.064286,0.057143,0.057143,0.050000,0.064286,0.035714,0.007143,0.007143,0.007143,0.000000,0.057143,0.107143,0.107143,0.100000,0.100000,0.050000,0.014286,0.042857,0.057143,0.057143,0.057143,0.057143,0.042857,0.064286,0.021429,0.050000,0.050000,0.021429,0.014286,0.035714,0.035714,0.014286,0.064286,0.064286,0.057143,0.057143,0.057143,0.057143,0.050000,0.050000,0.057143,0.050000,0.050000,0.050000,0.014286,0.014286,0.342857,0.357143,0.357143,0.335714,0.350000,0.335714,0.342857,0.335714,0.342857,0.378571,0.364286,0.371429,0.364286,0.378571,0.364286,0.371429,0.371429,0.371429,0.371429,0.371429,0.378571,0.378571,0.457143,0.457143,0.442857,0.442857,0.435714,0.435714,0.450000,0.442857,0.421429,0.442857,0.442857,0.421429,0.421429,0.378571,0.378571,0.371429,0.378571,0.378571
Strain_23_Genome.fas,0.050000,0.050000,0.064286,0.057143,0.014286,0.014286,0.042857,0.035714,0.042857,0.035714,0.035714,0.057143,0.057143,0.064286,0.085714,0.085714,0.078571,0.007143,0.064286,0.050000,0.050000,0.050000,0.057143,0.000000,0.121429,0.121429,0.114286,0.114286,0.021429,0.057143,0.042857,0.057143,0.000000,0.057143,0.085714,0.042857,0.007143,0.050000,0.078571,0.050000,0.050000,0.042857,0.064286,0.064286,0.042857,0.007143,0.007143,0.057143,0.057143,0.057143,0.057143,0.078571,0.078571,0.000000,0.064286,0.035714,0.035714,0.042857,0.042857,0.357143,0.371429,0.371429,0.350000,0.364286,0.350000,0.357143,0.350000,0.357143,0.392857,0.392857,0.400000,0.392857,0.407143,0.392857,0.400000,0.400000,0.400000,0.400000,0.400000,0.407143,0.407143,0.471429,0.471429,0.457143,0.457143,0.450000,0.450000,0.464286,0.457143,0.435714,0.457143,0.457143,0.435714,0.435714,0.378571,0.378571,0.371429,0.378571,0.378571
Strain_24_Genome.fas,0.100000,0.100000,0.071429,0.078571,0.107143,0.107143,0.092857,0.085714,0.092857,0.085714,0.085714,0.078571,0.078571,0.085714,0.107143,0.107143,0.100000,0.128571,0.071429,0.100000,0.100000,0.100000,0.107143,0.121429,0.000000,0.000000,0.021429,0.021429,0.114286,0.107143,0.078571,0.078571,0.121429,0.078571,0.107143,0.092857,0.128571,0.085714,0.100000,0.085714,0.100000,0.092857,0.071429,0.071429,0.092857,0.128571,0.128571,0.078571,0.078571,0.078571,0.078571,0.100000,0.100000,0.121429,0.085714,0.100000,0.085714,0.092857,0.092857,0.321429,0.335714,0.335714,0.314286,0.328571,0.314286,0.321429,0.314286,0.321429,0.357143,0.378571,0.385714,0.378571,0.392857,0.378571,0.385714,0.385714,0.385714,0.385714,0.385714,0.392857,0.392857,0.435714,0.435714,0.421429,0.421429,0.428571,0.428571,0.442857,0.421429,0.400000,0.421429,0.421429,0.400000,0.400000,0.364286,0.364286,0.357143,0.364286,0.364286
Strain_25_Genome.fas,0.100000,0.100000,0.071429,0.078571,0.107143,0.107143,0.092857,0.085714,0.092857,0.085714,0.085714,0.078571,0.078571,0.085714,0.107143,0.107143,0.100000,0.128571,0.071429,0.100000,0.100000,0.100000,0.107143,0.121429,0.000000,0.000000,0.021429,0.021429,0.114286,0.107143,0.078571,0.078571,0.121429,0.078571,0.107143,0.092857,0.128571,0.085714,0.100000,0.085714,0.100000,0.092857,0.071429,0.071429,0.092857,0.128571,0.128571,0.078571,0.078571,0.078571,0.078571,0.100000,0.100000,0.121429,0.085714,0.100000,0.085714,0.092857,0.092857,0.321429,0.335714,0.335714,0.314286,0.328571,0.314286,0.321429,0.314286,0.321429,0.357143,0.378571,0.385714,0.378571,0.392857,0.378571,0.385714,0.385714,0.385714,0.385714,0.385714,0.392857,0.392857,0.435714,0.435714,0.421429,0.421429,0.428571,0.428571,0.442857,0.421429,0.400000,0.421429,0.421429,0.400000,0.400000,0.364286,0.364286,0.357143,0.364286,0.364286
Strain_26_Genome.fas,0.092857,0.092857,0.064286,0.071429,0.100000,0.100000,0.085714,0.078571,0.085714,0.078571,0.078571,0.071429,0.071429,0.078571,0.100000,0.100000,0.092857,0.121429,0.064286,0.092857,0.092857,0.092857,0.100000,0.114286,0.021429,0.021429,0.000000,0.000000,0.107143,0.100000,0.071429,0.071429,0.114286,0.071429,0.100000,0.085714,0.121429,0.078571,0.092857,0.078571,0.092857,0.085714,0.064286,0.064286,0.085714,0.121429,0.121429,0.071429,0.071429,0.071429,0.071429,0.092857,0.092857,0.114286,0.078571,0.092857,0.078571,0.085714,0.085714,0.314286,0.328571,0.328571,0.307143,0.321429,0.307143,0.314286,0.307143,0.314286,0.350000,0.371429,0.378571,0.371429,0.385714,0.371429,0.378571,0.378571,0.378571,0.378571,0.378571,0.385714,0.385714,0.428571,0.428571,0.414286,0.414286,0.421429,0.421429,0.435714,0.414286,0.392857,0.414286,0.414286,0.392857,0.392857,0.357143,0.357143,0.350000,0.357143,0.357143
Strain_27_Genome.fas,0.092857,0.092857,0.064286,0.071429,0.100000,0.100000,0.085714,0.078571,0.085714,0.078571,0.078571,0.071429,0.071429,0.078571,0.100000,0.100000,0.092857,0.121429,0.064286,0.092857,0.092857,0.092857,0.100000,0.114286,0.021429,0.021429,0.000000,0.000000,0.107143,0.100000,0.071429,0.071429,0.114286,0.071429,0.100000,0.085714,0.121429,0.078571,0.092857,0.078571,0.092857,0.085714,0.064286,0.064286,0.085714,0.121429,0.121429,0.071429,0.071429,0.071429,0.071429,0.092857,0.092857,0.114286,0.078571,0.092857,0.078571,0.085714,0.085714,0.314286,0.328571,0.328571,0.307143,0.321429,0.307143,0.314286,0.307143,0.314286,0.350000,0.371429,0.378571,0.371429,0.385714,0.371429,0.378571,0.378571,0.378571,0.378571,0.378571,0.385714,0.385714,0.428571,0.428571,0.414286,0.414286,0.421429,0.421429,0.435714,0.414286,0.392857,0.414286,0.414286,0.392857,0.392857,0.357143,0.357143,0.350000,0.357143,0.357143
Strain_28_Genome.fas,0.042857,0.042857,0.057143,0.050000,0.007143,0.007143,0.035714,0.028571,0.035714,0.028571,0.028571,0.050000,0.050000,0.057143,0.078571,0.078571,0.071429,0.028571,0.057143,0.042857,0.042857,0.042857,0.050000,0.021429,0.114286,0.114286,0.107143,0.107143,0.000000,0.050000,0.035714,0.050000,0.021429,0.050000,0.078571,0.035714,0.028571,0.042857,0.071429,0.042857,0.042857,0.035714,0.057143,0.057143,0.035714,0.028571,0.028571,0.050000,0.050000,0.050000,0.050000,0.071429,0.071429,0.021429,0.057143,0.028571,0.028571,0.035714,0.035714,0.350000,0.364286,0.364286,0.342857,0.357143,0.342857,0.350000,0.342857,0.350000,0.385714,0.385714,0.392857,0.385714,0.400000,0.385714,0.392857,0.392857,0.392857,0.392857,0.392857,0.400000,0.400000,0.464286,0.464286,0.450000,0.450000,0.442857,0.442857,0.457143,0.450000,0.428571,0.450000,0.450000,0.428571,0.428571,0.371429,0.371429,0.364286,0.371429,0.371429
Strain_29_Genome.fas,0.021429,0.021429,0.035714,0.057143,0.042857,0.042857,0.014286,0.035714,0.042857,0.035714,0.035714,0.057143,0.057143,0.064286,0.057143,0.057143,0.050000,0.064286,0.035714,0.007143,0.007143,0.007143,0.014286,0.057143,0.107143,0.107143,0.100000,0.100000,0.050000,0.000000,0.042857,0.057143,0.057143,0.057143,0.057143,0.042857,0.064286,0.021429,0.050000,0.050000,0.021429,0.014286,0.035714,0.035714,0.014286,0.064286,0.064286,0.057143,0.057143,0.057143,0.057143,0.050000,0.050000,0.057143,0.050000,0.050000,0.050000,0.014286,0.014286,0.342857,0.357143,0.357143,0.335714,0.350000,0.335714,0.342857,0.335714,0.342857,0.378571,0.364286,0.371429,0.364286,0.378571,0.364286,0.371429,0.371429,0.371429,0.371429,0.371429,0.378571,0.378571,0.457143,0.457143,0.442857,0.442857,0.435714,0.435714,0.450000,0.442857,0.421429,0.442857,0.442857,0.421429,0.421429,0.378571,0.378571,0.371429,0.378571,0.378571
Strain_30_Genome.fas,0.035714,0.035714,0.021429,0.014286,0.028571,0.028571,0.028571,0.007143,0.014286,0.007143,0.007143,0.014286,0.014286,0.021429,0.057143,0.057143,0.050000,0.050000,0.021429,0.035714,0.035714,0.035714,0.042857,0.042857,0.078571,0.078571,0.071429,0.071429,0.035714,0.042857,0.000000,0.014286,0.042857,0.014286,0.057143,0.014286,0.050000,0.021429,0.050000,0.021429,0.035714,0.028571,0.021429,0.021429,0.028571,0.050000,0.050000,0.014286,0.014286,0.014286,0.014286,0.050000,0.050000,0.042857,0.021429,0.021429,0.007143,0.028571,0.028571,0.314286,0.328571,0.328571,0.307143,0.321429,0.307143,0.314286,0.307143,0.314286,0.350000,0.350000,0.357143,0.350000,0.364286,0.350000,0.357143,0.357143,0.357143,0.357143,0.357143,0.364286,0.364286,0.428571,0.428571,0.414286,0.414286,0.407143,0.407143,0.421429,0.414286,0.392857,0.414286,0.414286,0.392857,0.392857,0.335714,0.335714,0.328571,0.335714,0.335714
Strain_31_Genome.fas,0.050000,0.050000,0.021429,0.000000,0.042857,0.042857,0.042857,0.021429,0.028571,0.021429,0.021429,0.014286,0.014286,0.007143,0.057143,0.057143,0.050000,0.064286,0.021429,0.050000,0.050000,0.050000,0.057143,0.057143,0.078571,0.078571,0.071429,0.071429,0.050000,0.057143,0.014286,0.000000,0.057143,0.000000,0.057143,0.028571,0.064286,0.035714,0.050000,0.021429,0.050000,0.042857,0.021429,0.021429,0.042857,0.064286,0.064286,0.000000,0.000000,0.000000,0.000000,0.050000,0.050000,0.057143,0.021429,0.035714,0.021429,0.042857,0.042857,0.314286,0.328571,0.328571,0.307143,0.321429,0.307143,0.314286,0.307143,0.314286,0.350000,0.350000,0.357143,0.350000,0.364286,0.350000,0.357143,0.357143,0.357143,0.357143,0.357143,0.364286,0.364286,0.435714,0.435714,0.421429,0.421429,0.414286,0.414286,0.428571,0.421429,0.400000,0.421429,0.421429,0.400000,0.400000,0.335714,0.335714,0.328571,0.335714,0.335714
Strain_32_Genome.fas,0.050000,0.050000,0.064286,0.057143,0.014286,0.014286,0.042857,0.035714,0.042857,0.035714,0.035714,0.057143,0.057143,0.064286,0.085714,0.085714,0.078571,0.007143,0.064286,0.050000,0.050000,0.050000,0.057143,0.000000,0.121429,0.121429,0.114286,0.114286,0.021429,0.057143,0.042857,0.057143,0.000000,0.057143,0.085714,0.042857,0.007143,0.050000,0.078571,0.050000,0.050000,0.042857,0.064286,0.064286,0.042857,0.007143,0.007143,0.057143,0.057143,0.057143,0.057143,0.078571,0.078571,0.000000,0.064286,0.035714,0.035714,0.042857,0.042857,0.357143,0.371429,0.371429,0.350000,0.364286,0.350000,0.357143,0.350000,0.357143,0.392857,0.392857,0.400000,0.392857,0.407143,0.392857,0.400000,0.400000,0.400000,0.400000,0.400000,0.407143,0.407143,0.471429,0.471429,0.457143,0.457143,0.450000,0.450000,0.464286,0.457143,0.435714,0.457143,0.457143,0.435714,0.435714,0.378571,0.378571,0.371429,0.378571,0.378571
Strain_33_Genome.fas,0.050000,0.050000,0.021429,0.000000,0.042857,0.042857,0.042857,0.021429,0.028571,0.021429,0.021429,0.014286,0.014286,0.007143,0.057143,0.057143,0.050000,0.064286,0.021429,0.050000,0.050000,0.050000,0.057143,0.057143,0.078571,0.078571,0.071429,0.071429,0.050000,0.057143,0.014286,0.000000,0.057143,0.000000,0.057143,0.028571,0.064286,0.035714,0.050000,0.021429,0.050000,0.042857,0.021429,0.021429,0.042857,0.064286,0.064286,0.000000,0.000000,0.000000,0.000000,0.050000,0.050000,0.057143,0.021429,0.035714,0.021429,0.042857,0.042857,0.314286,0.328571,0.328571,0.307143,0.321429,0.307143,0.314286,0.307143,0.314286,0.350000,0.350000,0.357143,0.350000,0.364286,0.350000,0.357143,0.357143,0.357143,0.357143,0.357143,0.364286,0.364286,0.435714,0.435714,0.421429,0.421429,0.414286,0.414286,0.428571,0.421429,0.400000,0.421429,0.421429,0.400000,0.400000,0.335714,0.335714,0.328571,0.335714,0.335714
Strain_34_Genome.fas,0.050000,0.050000,0.035714,0.057143,0.071429,0.071429,0.042857,0.050000,0.057143,0.050000,0.050000,0.057143,0.057143,0.064286,0.000000,0.000000,0.007143,0.092857,0.035714,0.050000,0.050000,0.050000,0.057143,0.085714,0.107143,0.107143,0.100000,0.100000,0.078571,0.057143,0.057143,0.057143,0.085714,0.057143,0.000000,0.057143,0.092857,0.035714,0.007143,0.035714,0.050000,0.042857,0.035714,0.035714,0.042857,0.092857,0.092857,0.057143,0.057143,0.057143,0.057143,0.007143,0.007143,0.085714,0.064286,0.064286,0.064286,0.042857,0.042857,0.328571,0.342857,0.342857,0.321429,0.335714,0.321429,0.328571,0.321429,0.328571,0.364286,0.350000,0.357143,0.350000,0.364286,0.350000,0.357143,0.357143,0.357143,0.357143,0.357143,0.364286,0.364286,0.435714,0.435714,0.421429,0.421429,0.414286,0.414286,0.428571,0.421429,0.400000,0.421429,0.421429,0.400000,0.400000,0.364286,0.364286,0.357143,0.364286,0.364286
Strain_35_Genome.fas,0.035714,0.035714,0.035714,0.028571,0.028571,0.028571,0.028571,0.007143,0.000000,0.007143,0.007143,0.028571,0.028571,0.035714,0.057143,0.057143,0.050000,0.050000,0.035714,0.035714,0.035714,0.035714,0.042857,0.042857,0.092857,0.092857,0.085714,0.085714,0.035714,0.042857,0.014286,0.028571,0.042857,0.028571,0.057143,0.000000,0.050000,0.021429,0.050000,0.021429,0.035714,0.028571,0.035714,0.035714,0.028571,0.050000,0.050000,0.028571,0.028571,0.028571,0.028571,0.050000,0.050000,0.042857,0.035714,0.021429,0.021429,0.028571,0.028571,0.328571,0.342857,0.342857,0.321429,0.335714,0.321429,0.328571,0.321429,0.328571,0.357143,0.364286,0.371429,0.364286,0.371429,0.364286,0.371429,0.371429,0.371429,0.371429,0.371429,0.378571,0.378571,0.442857,0.442857,0.428571,0.428571,0.421429,0.421429,0.435714,0.428571,0.407143,0.428571,0.428571,0.407143,0.407143,0.350000,0.350000,0.342857,0.350000,0.350000
Strain_36_Genome.fas,0.057143,0.057143,0.071429,0.064286,0.021429,0.021429,0.050000,0.042857,0.050000,0.042857,0.042857,0.064286,0.064286,0.071429,0.092857,0.092857,0.085714,0.000000,0.071429,0.057143,0.057143,0.057143,0.064286,0.007143,0.128571,0.128571,0.121429,0.121429,0.028571,0.064286,0.050000,0.064286,0.007143,0.064286,0.092857,0.050000,0.000000,0.057143,0.085714,0.057143,0.057143,0.050000,0.071429,0.071429,0.050000,0.000000,0.000000,0.064286,0.064286,0.064286,0.064286,0.085714,0.085714,0.007143,0.071429,0.042857,0.042857,0.050000,0.050000,0.350000,0.364286,0.364286,0.357143,0.357143,0.357143,0.350000,0.357143,0.350000,0.400000,0.385714,0.392857,0.385714,0.400000,0.385714,0.392857,0.392857,0.392857,0.392857,0.392857,0.400000,0.400000,0.464286,0.464286,0.450000,0.450000,0.442857,0.442857,0.457143,0.450000,0.428571,0.450000,0.450000,0.428571,0.428571,0.385714,0.385714,0.378571,0.385714,0.385714
Strain_37_Genome.fas,0.014286,0.014286,0.014286,0.035714,0.035714,0.035714,0.007143,0.014286,0.021429,0.014286,0.014286,0.035714,0.035714,0.042857,0.035714,0.035714,0.028571,0.057143,0.014286,0.014286,0.014286,0.014286,0.021429,0.050000,0.085714,0.085714,0.078571,0.078571,0.042857,0.021429,0.021429,0.035714,0.050000,0.035714,0.035714,0.021429,0.057143,0.000000,0.028571,0.028571,0.014286,0.007143,0.014286,0.014286,0.007143,0.057143,0.057143,0.035714,0.035714,0.035714,0.035714,0.028571,0.028571,0.050000,0.042857,0.028571,0.028571,0.007143,0.007143,0.321429,0.335714,0.335714,0.314286,0.328571,0.314286,0.321429,0.314286,0.321429,0.357143,0.342857,0.350000,0.342857,0.357143,0.342857,0.350000,0.350000,0.350000,0.350000,0.350000,0.357143,0.357143,0.435714,0.435714,0.421429,0.421429,0.414286,0.414286,0.428571,0.421429,0.400000,0.421429,0.421429,0.400000,0.400000,0.357143,0.357143,0.350000,0.357143,0.357143
Strain_38_Genome.fas,0.042857,0.042857,0.028571,0.050000,0.064286,0.064286,0.035714,0.042857,0.050000,0.042857,0.042857,0.050000,0.050000,0.057143,0.007143,0.007143,0.000000,0.085714,0.028571,0.042857,0.042857,0.042857,0.050000,0.078571,0.100000,0.100000,0.092857,0.092857,0.071429,0.050000,0.050000,0.050000,0.078571,0.050000,0.007143,0.050000,0.085714,0.028571,0.000000,0.028571,0.042857,0.035714,0.028571,0.028571,0.035714,0.085714,0.085714,0.050000,0.050000,0.050000,0.050000,0.000000,0.000000,0.078571,0.057143,0.057143,0.057143,0.035714,0.035714,0.335714,0.350000,0.350000,0.328571,0.342857,0.328571,0.335714,0.328571,0.335714,0.371429,0.357143,0.364286,0.357143,0.371429,0.357143,0.364286,0.364286,0.364286,0.364286,0.364286,0.371429,0.371429,0.442857,0.442857,0.428571,0.428571,0.421429,0.421429,0.435714,0.428571,0.407143,0.428571,0.428571,0.407143,0.407143,0.371429,0.371429,0.364286,0.371429,0.371429
Strain_39_Genome.fas,0.042857,0.042857,0.028571,0.021429,0.035714,0.035714,0.035714,0.014286,0.021429,0.014286,0.014286,0.021429,0.021429,0.028571,0.035714,0.035714,0.028571,0.057143,0.028571,0.042857,0.042857,0.042857,0.050000,0.050000,0.085714,0.085714,0.078571,0.078571,0.042857,0.050000,0.021429,0.021429,0.050000,0.021429,0.035714,0.021429,0.057143,0.028571,0.028571,0.000000,0.042857,0.035714,0.028571,0.028571,0.035714,0.057143,0.057143,0.021429,0.021429,0.021429,0.021429,0.028571,0.028571,0.050000,0.028571,0.028571,0.028571,0.035714,0.035714,0.321429,0.335714,0.335714,0.314286,0.328571,0.314286,0.321429,0.314286,0.321429,0.357143,0.357143,0.364286,0.357143,0.371429,0.357143,0.364286,0.364286,0.364286,0.364286,0.364286,0.371429,0.371429,0.442857,0.442857,0.428571,0.428571,0.421429,0.421429,0.435714,0.428571,0.407143,0.428571,0.428571,0.407143,0.407143,0.342857,0.342857,0.335714,0.342857,0.342857
Strain_40_Genome.fas,0.000000,0.000000,0.028571,0.050000,0.035714,0.035714,0.007143,0.028571,0.035714,0.028571,0.028571,0.050000,0.050000,0.057143,0.050000,0.050000,0.042857,0.057143,0.028571,0.014286,0.014286,0.014286,0.021429,0.050000,0.100000,0.100000,0.092857,0.092857,0.042857,0.021429,0.035714,0.050000,0.050000,0.050000,0.050000,0.035714,0.057143,0.014286,0.042857,0.042857,0.000000,0.007143,0.028571,0.028571,0.007143,0.057143,0.057143,0.050000,0.050000,0.050000,0.050000,0.042857,0.042857,0.050000,0.057143,0.042857,0.042857,0.007143,0.007143,0.335714,0.350000,0.350000,0.328571,0.342857,0.328571,0.335714,0.328571,0.335714,0.371429,0.357143,0.364286,0.357143,0.371429,0.357143,0.364286,0.364286,0.364286,0.364286,0.364286,0.371429,0.371429,0.450000,0.450000,0.435714,0.435714,0.428571,0.428571,0.442857,0.435714,0.414286,0.435714,0.435714,0.414286,0.414286,0.364286,0.364286,0.357143,0.364286,0.364286
Strain_41_Genome.fas,0.007143,0.007143,0.021429,0.042857,0.028571,0.028571,0.000000,0.021429,0.028571,0.021429,0.021429,0.042857,0.042857,0.050000,0.042857,0.042857,0.035714,0.050000,0.021429,0.007143,0.007143,0.007143,0.014286,0.042857,0.092857,0.092857,0.085714,0.085714,0.035714,0.014286,0.028571,0.042857,0.042857,0.042857,0.042857,0.028571,0.050000,0.007143,0.035714,0.035714,0.007143,0.000000,0.021429,0.021429,0.000000,0.050000,0.050000,0.042857,0.042857,0.042857,0.042857,0.035714,0.035714,0.042857,0.050000,0.035714,0.035714,0.000000,0.000000,0.328571,0.342857,0.342857,0.321429,0.335714,0.321429,0.328571,0.321429,0.328571,0.364286,0.350000,0.357143,0.350000,0.364286,0.350000,0.357143,0.357143,0.357143,0.357143,0.357143,0.364286,0.364286,0.442857,0.442857,0.428571,0.428571,0.421429,0.421429,0.435714,0.428571,0.407143,0.428571,0.428571,0.407143,0.407143,0.364286,0.364286,0.357143,0.364286,0.364286
Strain_42_Genome.fas,0.028571,0.028571,0.000000,0.021429,0.050000,0.050000,0.021429,0.028571,0.035714,0.028571,0.028571,0.021429,0.021429,0.028571,0.035714,0.035714,0.028571,0.071429,0.000000,0.028571,0.028571,0.028571,0.035714,0.064286,0.071429,0.071429,0.064286,0.064286,0.057143,0.035714,0.021429,0.021429,0.064286,0.021429,0.035714,0.035714,0.071429,0.014286,0.028571,0.028571,0.028571,0.021429,0.000000,0.000000,0.021429,0.071429,0.071429,0.021429,0.021429,0.021429,0.021429,0.028571,0.028571,0.064286,0.028571,0.042857,0.028571,0.021429,0.021429,0.307143,0.321429,0.321429,0.300000,0.314286,0.300000,0.307143,0.300000,0.307143,0.342857,0.328571,0.335714,0.328571,0.342857,0.328571,0.335714,0.335714,0.335714,0.335714,0.335714,0.342857,0.342857,0.428571,0.428571,0.414286,0.414286,0.407143,0.407143,0.421429,0.414286,0.392857,0.414286,0.414286,0.392857,0.392857,0.342857,0.342857,0.335714,0.342857,0.342857
Strain_43_Genome.fas,0.028571,0.028571,0.000000,0.021429,0.050000,0.050000,0.021429,0.028571,0.035714,0.028571,0.028571,0.021429,0.021429,0.028571,0.035714,0.035714,0.028571,0.071429,0.000000,0.028571,0.028571,0.028571,0.035714,0.064286,0.071429,0.071429,0.064286,0.064286,0.057143,0.035714,0.021429,0.021429,0.064286,0.021429,0.035714,0.035714,0.071429,0.014286,0.028571,0.028571,0.028571,0.021429,0.000000,0.000000,0.021429,0.071429,0.071429,0.021429,0.021429,0.021429,0.021429,0.028571,0.028571,0.064286,0.028571,0.042857,0.028571,0.021429,0.021429,0.307143,0.321429,0.321429,0.300000,0.314286,0.300000,0.307143,0.300000,0.307143,0.342857,0.328571,0.335714,0.328571,0.342857,0.328571,0.335714,0.335714,0.335714,0.335714,0.335714,0.342857,0.342857,0.428571,0.428571,0.414286,0.414286,0.407143,0.407143,0.421429,0.414286,0.392857,0.414286,0.414286,0.392857,0.392857,0.342857,0.342857,0.335714,0.342857,0.342857
Strain_44_Genome.fas,0.007143,0.007143,0.021429,0.042857,0.028571,0.028571,0.000000,0.021429,0.028571,0.021429,0.021429,0.042857,0.042857,0.050000,0.042857,0.042857,0.035714,0.050000,0.021429,0.007143,0.007143,0.007143,0.014286,0.042857,0.092857,0.092857,0.085714,0.085714,0.035714,0.014286,0.028571,0.042857,0.042857,0.042857,0.042857,0.028571,0.050000,0.007143,0.035714,0.035714,0.007143,0.000000,0.021429,0.021429,0.000000,0.050000,0.050000,0.042857,0.042857,0.042857,0.042857,0.035714,0.035714,0.042857,0.050000,0.035714,0.035714,0.000000,0.000000,0.328571,0.342857,0.342857,0.321429,0.335714,0.321429,0.328571,0.321429,0.328571,0.364286,0.350000,0.357143,0.350000,0.364286,0.350000,0.357143,0.357143,0.357143,0.357143,0.357143,0.364286,0.364286,0.442857,0.442857,0.428571,0.428571,0.421429,0.421429,0.435714,0.428571,0.407143,0.428571,0.428571,0.407143,0.407143,0.364286,0.364286,0.357143,0.364286,0.364286
Strain_45_Genome.fas,0.057143,0.057143,0.071429,0.064286,0.021429,0.021429,0.050000,0.042857,0.050000,0.042857,0.042857,0.064286,0.064286,0.071429,0.092857,0.092857,0.085714,0.000000,0.071429,0.057143,0.057143,0.057143,0.064286,0.007143,0.128571,0.128571,0.121429,0.121429,0.028571,0.064286,0.050000,0.064286,0.007143,0.064286,0.092857,0.050000,0.000000,0.057143,0.085714,0.057143,0.057143,0.050000,0.071429,0.071429,0.050000,0.000000,0.000000,0.064286,0.064286,0.064286,0.064286,0.085714,0.085714,0.007143,0.071429,0.042857,0.042857,0.050000,0.050000,0.350000,0.364286,0.364286,0.357143,0.357143,0.357143,0.350000,0.357143,0.350000,0.400000,0.385714,0.392857,0.385714,0.400000,0.385714,0.392857,0.392857,0.392857,0.392857,0.392857,0.400000,0.400000,0.464286,0.464286,0.450000,0.450000,0.442857,0.442857,0.457143,0.450000,0.428571,0.450000,0.450000,0.428571,0.428571,0.385714,0.385714,0.378571,0.385714,0.385714
Strain_46_Genome.fas,0.057143,0.057143,0.071429,0.064286,0.021429,0.021429,0.050000,0.042857,0.050000,0.042857,0.042857,0.064286,0.064286,0.071429,0.092857,0.092857,0.085714,0.000000,0.071429,0.057143,0.057143,0.057143,0.064286,0.007143,0.128571,0.128571,0.121429,0.121429,0.028571,0.064286,0.050000,0.064286,0.007143,0.064286,0.092857,0.050000,0.000000,0.057143,0.085714,0.057143,0.057143,0.050000,0.071429,0.071429,0.050000,0.000000,0.000000,0.064286,0.064286,0.064286,0.064286,0.085714,0.085714,0.007143,0.071429,0.042857,0.042857,0.050000,0.050000,0.350000,0.364286,0.364286,0.357143,0.357143,0.357143,0.350000,0.357143,0.350000,0.400000,0.385714,0.392857,0.385714,0.400000,0.385714,0.392857,0.392857,0.392857,0.392857,0.392857,0.400000,0.400000,0.464286,0.464286,0.450000,0.450000,0.442857,0.442857,0.457143,0.450000,0.428571,0.450000,0.450000,0.428571,0.428571,0.385714,0.385714,0.378571,0.385714,0.385714
